auction_ID,lot,num_uniq_bidders,uniq_bidders
s1_28_master-paintings-sculpture-part-i_,37,2,"[frozenset({'Navasota'}), frozenset({'Longshanks'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,7,0,[]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,2104,3,"[frozenset({'Betsy'}), frozenset({'Alex 1 million', 'Alex'}), frozenset({'a Oaks Michael', 'Patty', 'Eddie Martinez'})]"
s1_08_magnificent-jewels-6?locale=en,52,3,"[frozenset({'Powell'}), frozenset({'online'}), frozenset({'Frank'})]"
s1_23_important-watches-3,293,4,"[frozenset({'Rich', 'Richard Bennett'}), frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'B.'})]"
s1_14_karl-karl-lagerfelds-estate?locale=en,15,7,"[frozenset({'Smith'}), frozenset({'Gmail', 'Ismail'}), frozenset({'Sammy Lou'}), frozenset({'online'}), frozenset({'Hoffman'}), frozenset({'Donald me', 'Charles me', 'Donald'}), frozenset({'Nash'})]"
s1_08_magnificent-jewels-6?locale=en,182,0,[]
s1_23_important-watches-3,285,2,"[frozenset({'online', 'on line'}), frozenset({'Ryan'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1057,1,"[frozenset({'Joshua', 'online', 'Joshua.  950000', 'Yuki'})]"
s1_18_art-contemporain-evening-sale-2?locale=en_,29,1,[frozenset({'Studio'})]
s1_23_important-watches-3,401,0,[]
s1_08_magnificent-jewels-6?locale=en,118,2,"[frozenset({'Elsa'}), frozenset({'Lisa'})]"
s1_30_past-forward?locale=en_modernites,1,5,"[frozenset({'Holt'}), frozenset({'Zeto'}), frozenset({'DeSantis'}), frozenset({'Hustle'}), frozenset({'phone'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,155,2,"[frozenset({'sir'}), frozenset({'Walnut'})]"
s1_12_important-design-paris?locale=en,186,0,[]
s1_08_magnificent-jewels-6?locale=en,186,3,"[frozenset({'online', 'telephone', 'Diamond', 'phone', 'on line'}), frozenset({'Catherine', 'Katherine'}), frozenset({'Livia', 'Olivier', 'Lydia', 'Olivia'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,31,1,[frozenset({'Jones'})]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1047,2,"[frozenset({'Jen'}), frozenset({'Yvonne'})]"
s1_23_important-watches-3,418,3,"[frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Lost Shelton'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,115,9,"[frozenset({'Craig Lane'}), frozenset({'Sidney', '7250 Sidney'}), frozenset({'Greg Wong', 'Greg Speck'}), frozenset({'Massey'}), frozenset({'Love Jones'}), frozenset({'Didymus'}), frozenset({'Gentlemen'}), frozenset({'Gilbertson'}), frozenset({'Pat'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1001,3,"[frozenset({'Aaron'}), frozenset({'Liz'}), frozenset({'Babe', 'Babe I'})]"
s1_30_past-forward?locale=en_modernites,32,3,"[frozenset({'Munich'}), frozenset({'Jack'}), frozenset({'Hotel Hilton'})]"
s1_30_past-forward?locale=en_modernites,26,4,"[frozenset({'Lulu Von', 'o s.', 'Emilio', 'Coulda'}), frozenset({'Cebu'}), frozenset({'Add Swiss'}), frozenset({'Assassin'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,115,4,"[frozenset({'Alexa'}), frozenset({'Haley', 'Hailey'}), frozenset({'Michael McCauley', 'Michael'}), frozenset({'Simon'})]"
s1_08_magnificent-jewels-6?locale=en,24,3,"[frozenset({'online'}), frozenset({'gentleman'}), frozenset({'sir'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,36,6,"[frozenset({'240000 Haywood', 'Haywood'}), frozenset({'Emmett', 'Emma'}), frozenset({'Daniel'}), frozenset({'Palumbo'}), frozenset({'Neil'}), frozenset({'gentleman'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,101,4,"[frozenset({'David Schroeder'}), frozenset({'Props Seafood', 'Jackie Props Seafood'}), frozenset({'Maximo', 'Max', 'Terre Haute Max'}), frozenset({'Greg'})]"
s1_14_karl-karl-lagerfelds-estate?locale=en,52,9,"[frozenset({'Alistair'}), frozenset({'Andre Miller'}), frozenset({'Rutherford'}), frozenset({'Guzman'}), frozenset({'Stephanie', 'Sean'}), frozenset({'Tatiana'}), frozenset({'Doom'}), frozenset({'Heisman Heisman'}), frozenset({'Gmail'})]"
s1_23_important-watches-3,211,4,"[frozenset({'online'}), frozenset({'Christina', 'Christine'}), frozenset({'phone'}), frozenset({'Janet syrup'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1028,1,[frozenset({'Pizarro'})]
s1_12_important-design-paris?locale=en,91,3,"[frozenset({'Fabick'}), frozenset({'Gino'}), frozenset({'Maddie'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1025,1,[frozenset({'online'})]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1022,3,"[frozenset({'Peter'}), frozenset({'online'}), frozenset({'Debbie'})]"
s1_22_surrealism-and-its-legacy?locale=en_,25,9,"[frozenset({'Claudia'}), frozenset({'Euros'}), frozenset({'Diamond Kitchen'}), frozenset({'Messi Bookoo', 'Messi'}), frozenset({'Rhonda Miller'}), frozenset({'Quetzal'}), frozenset({'Simon'}), frozenset({'Mario'}), frozenset({'Eicc'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,130,2,"[frozenset({'the Sam Gilliam', 'Sam Gilliam'}), frozenset({'Jean Efron'})]"
s1_12_important-design-paris?locale=en,152,9,"[frozenset({'Suzanne cupito.', 'Suzanne cupito', 'Susan', 'Suzanne'}), frozenset({'Episode'}), frozenset({'Annette'}), frozenset({'Acapulco'}), frozenset({'Chantel'}), frozenset({'online'}), frozenset({'Watson'}), frozenset({'Rivers'}), frozenset({'Smith', 'Call Smith'})]"
s1_12_important-design-paris?locale=en,101,0,[]
s1_23_important-watches-3,341,0,[]
s1_12_important-design-paris?locale=en,132,0,[]
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,122,1,[frozenset({'Michael'})]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,150,0,[]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,103,2,"[frozenset({'Sam'}), frozenset({'Picasso'})]"
s1_23_important-watches-3,338,1,[frozenset({'online'})]
s1_23_important-watches-3,349,1,[frozenset({'Andy'})]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1051,0,[]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,10,15,"[frozenset({'Emily'}), frozenset({'Aggreko'}), frozenset({'Alex'}), frozenset({'Cracker Barrel'}), frozenset({'Moneta Nexus'}), frozenset({'Anakin Secret'}), frozenset({'Valensi'}), frozenset({'Sweet Mountain'}), frozenset({'Patsy'}), frozenset({'Ibrahim'}), frozenset({'James'}), frozenset({'Martin'}), frozenset({'Greg'}), frozenset({'Nathan'}), frozenset({'Sutton Place'})]"
s1_30_past-forward?locale=en_modernites,108,3,"[frozenset({'Elena'}), frozenset({'Austin Swift'}), frozenset({'Angela'})]"
s1_12_important-design-paris?locale=en,42,1,[frozenset({'online'})]
s1_12_important-design-paris?locale=en,141,1,[frozenset({'Euros'})]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,128,4,"[frozenset({'Gregor', 'Gregg'}), frozenset({'Patrick'}), frozenset({'Patty'}), frozenset({'Tanya', 'Tanya 1 million', 'Tanya When'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1007,4,"[frozenset({'Suetonius'}), frozenset({'sir'}), frozenset({'Jen', 'Jen Hall', 'Jenna'}), frozenset({'Tanya', 'Tony'})]"
s1_12_important-design-paris?locale=en,60,0,[]
s1_12_important-design-paris?locale=en,97,2,"[frozenset({'online'}), frozenset({'Benedict Maria'})]"
s1_08_magnificent-jewels-6?locale=en,181,1,[frozenset({'Yvonne'})]
s1_12_important-design-paris?locale=en,164,4,"[frozenset({'Matthew'}), frozenset({'Adam Adam', 'Adam'}), frozenset({'phone'}), frozenset({'Denise'})]"
s1_14_karl-karl-lagerfelds-estate?locale=en,39,5,"[frozenset({'Uncle Chino'}), frozenset({'Simon Cowell'}), frozenset({'Adele'}), frozenset({'Mill'}), frozenset({'Cowan'})]"
s1_08_magnificent-jewels-6?locale=en,189,2,"[frozenset({'sir'}), frozenset({'Pause'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,1031,5,"[frozenset({'Thomas'}), frozenset({'Morris'}), frozenset({'Magritte'}), frozenset({'Simon'}), frozenset({'Julian'})]"
s1_23_important-watches-3,240,1,"[frozenset({'online', 'phone', 'on line'})]"
s1_23_important-watches-3,294,2,"[frozenset({'Rich'}), frozenset({'phone'})]"
s1_14_karl-karl-lagerfelds-estate?locale=en,26,6,"[frozenset({'Dab 7005'}), frozenset({'Jack 2005', 'Jack'}), frozenset({'Messi'}), frozenset({'Paso'}), frozenset({'phone'}), frozenset({'Donair'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1029,2,"[frozenset({'Dennis'}), frozenset({'Spencer Jen'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,22,1,[frozenset({'Kohl'})]
s1_08_magnificent-jewels-6?locale=en,146,2,"[frozenset({'online'}), frozenset({'phone'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,149,2,"[frozenset({'Martin'}), frozenset({'phone'})]"
s1_18_art-contemporain-evening-sale-2?locale=en_,23,0,[]
s1_12_important-design-paris?locale=en,98,1,[frozenset({'McKean'})]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,113,3,"[frozenset({'Emma'}), frozenset({'Claudia'}), frozenset({'online'})]"
s1_12_important-design-paris?locale=en,33,2,"[frozenset({'online'}), frozenset({'Townsend'})]"
s1_14_karl-karl-lagerfelds-estate?locale=en,23,0,[]
s1_12_important-design-paris?locale=en,140,2,"[frozenset({'Michael jr.', 'Michael'}), frozenset({'Uncle Timmy'})]"
s1_28_master-paintings-sculpture-part-i_,10,4,"[frozenset({'Jordan'}), frozenset({'Joel'}), frozenset({'Gilbert'}), frozenset({'George'})]"
s1_08_magnificent-jewels-6?locale=en,91,3,"[frozenset({'online'}), frozenset({""Y'all""}), frozenset({'Yen'})]"
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1046,0,[]
s1_08_magnificent-jewels-6?locale=en,100,4,"[frozenset({'Jonas B'}), frozenset({'Frank', 'Franklin'}), frozenset({'Cartier'}), frozenset({'phone'})]"
s1_23_important-watches-3,253,3,"[frozenset({'Omega Constellation'}), frozenset({'online'}), frozenset({'Lucky'})]"
s1_30_past-forward?locale=en_modernites,105,1,[frozenset({'Brooke'})]
s1_08_magnificent-jewels-6?locale=en,154,4,"[frozenset({'David Webb', 'David Webb Diamond Bridge'}), frozenset({'online'}), frozenset({'phone'}), frozenset({'Joanna'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,6,3,"[frozenset({'Brooks', 'Brooke Simpson'}), frozenset({'Alyosha'}), frozenset({'Masterpiece'})]"
s1_08_magnificent-jewels-6?locale=en,208,1,[frozenset({'Manchester'})]
s1_08_magnificent-jewels-6?locale=en,158,2,"[frozenset({'Khalid'}), frozenset({'God'})]"
s1_08_magnificent-jewels-6?locale=en,5,3,"[frozenset({'Ian'}), frozenset({'phone'}), frozenset({'lady'})]"
s1_08_magnificent-jewels-6?locale=en,44,7,"[frozenset({'Cindy'}), frozenset({'Megan'}), frozenset({'Saylor'}), frozenset({'Jim'}), frozenset({'Kathleen', 'Kathleen Schmitt 450,000', 'Indy Kathleen', 'Kathleen Spirit', 'Kathleen Schmitt'}), frozenset({'Bennett', 'Betty', 'Raz B', 'Brad', 'Brad Pitt', 'Bradley'}), frozenset({'phone', 'Jones'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,120,1,[frozenset({'Ikea Gregor'})]
s1_30_past-forward?locale=en_modernites,129,0,[]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,20,0,[]
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,23,3,"[frozenset({'Alex'}), frozenset({'John'}), frozenset({'online'})]"
s1_12_important-design-paris?locale=en,176,0,[]
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,108,15,"[frozenset({'Kayla Rainey', 'Rainey'}), frozenset({'Caleb'}), frozenset({'Lisa Tennyson', 'Lisa 13', 'Lisa', 'Lisa Dennison'}), frozenset({'Salad'}), frozenset({'Tomlin'}), frozenset({'Amy capalot', 'Amy Capital', 'Amy'}), frozenset({'Greg'}), frozenset({'Aquaman'}), frozenset({'Neil'}), frozenset({'Adam thielen', 'Adam'}), frozenset({'Anus'}), frozenset({'Tell Evan'}), frozenset({'sir'}), frozenset({'George Washington'}), frozenset({'phone'})]"
s1_12_important-design-paris?locale=en,129,1,"[frozenset({'telephone', 'phone'})]"
s1_23_important-watches-3,304,0,[]
s1_23_important-watches-3,242,2,"[frozenset({'online'}), frozenset({'Bid'})]"
s1_12_important-design-paris?locale=en,89,0,[]
s1_23_important-watches-3,244,3,"[frozenset({'online'}), frozenset({'Bill'}), frozenset({'Patek Philippe'})]"
s1_12_important-design-paris?locale=en,28,0,[]
s1_08_magnificent-jewels-6?locale=en,152,0,[]
s1_18_art-contemporain-evening-sale-2?locale=en_,9,2,"[frozenset({'online'}), frozenset({'Adele'})]"
s1_12_important-design-paris?locale=en,180,0,[]
s1_30_past-forward?locale=en_modernites,7,2,"[frozenset({'Linda'}), frozenset({'online'})]"
s1_12_important-design-paris?locale=en,146,0,[]
s1_23_important-watches-3,208,4,"[frozenset({'Buy Rolex'}), frozenset({'online'}), frozenset({'Janet'}), frozenset({'phone'})]"
s1_08_magnificent-jewels-6?locale=en,175,3,"[frozenset({'online'}), frozenset({'telephone', 'phone'}), frozenset({'Pendant Eclipse'})]"
s1_29_british-art-modern-contemporary+modern-contemporary-art-evening-sale,19,0,[]
s1_23_important-watches-3,205,1,[frozenset({'Janet'})]
s1_30_past-forward?locale=en_modernites,109,1,[frozenset({'phone'})]
s1_12_important-design-paris?locale=en,119,1,[frozenset({'online'})]
s1_12_important-design-paris?locale=en,148,2,"[frozenset({'Mario', 'Mary'}), frozenset({'Selena'})]"
s1_23_important-watches-3,250,2,"[frozenset({'Ashley'}), frozenset({'online'})]"
s1_12_important-design-paris?locale=en,122,2,"[frozenset({'Wilson'}), frozenset({'Zelda'})]"
s1_33_the-now-evening-auction?locale=en_contemporary-art-evening-auction-3?locale=en,134,1,[frozenset({'phone'})]
s1_10_modern-art-evening-sale-2?locale=en_contemporary-art-evening-sale-2,1031,1,[frozenset({'kyutie'})]
s1_08_magnificent-jewels-6?locale=en,37,3,"[frozenset({'Bidder'}), frozenset({'Marvin'}), frozenset({'online'})]"
s1_04_american-visionary-the-collection-of-mrs-john-l-marion?locale=en_contemporary-art-evening-auction?locale=en+impressionist-modern-art-evening-sale_,116,1,[frozenset({'Jones'})]
s1_12_important-design-paris?locale=en,10,0,[]
